TCP x,TCP y,TCP z,eef x,eef y,eef z,Cr(rzyz),Pitch(rzyz),Roll(rzyz),Manipulability,joint0,joint1,joint2,joint3,joint4,joint5
-0.1,0,0.2,-0.10000000000000005,0.23000000000000007,0.2,-90,90.0,-90.0,0.09327962883752543,0.8762843145209612,-1.2476774966502735,-1.431306092200844,-0.7485207477992223,-1.9202515475389168,1.262237489892607
-0.1,0,0.2,-0.15952838037357978,0.22216294004648574,0.19999999999999998,-75,90.0,-90.0,0.11650189468508979,0.9888072638506553,-1.095047293556296,-1.872253318737917,-0.8513347115450417,-1.6853838236596075,1.4396831130841206
-0.1,0,0.2,-0.21500000000000002,0.19918584287042088,0.19999999999999998,-60,90.0,-90.0,0.12782941780846152,1.0732344542472751,-0.9811495689890919,-2.2707350814388385,-1.0236266062311672,-1.5127005289170659,1.6645625682056757
-0.1,0,0.2,-0.26263455967290594,0.16263455967290594,0.19999999999999998,-45,90.0,-90.0,0.08553305587266699,1.0810693627329955,-0.910968577654311,-2.6310386328096964,-1.296318170089801,-1.4573465795632554,1.9557738431070133
-0.1,0,0.2,-0.29918584287042094,0.115,0.19999999999999998,-30,90.0,-90.0,0.04844042971890852,0.8846435135739654,-0.9359574023206126,-2.9340008466465872,-1.6912990595253279,-1.6787696910961794,2.291897649141661
-0.1,0,0.2,-0.3221629400464857,0.05952838037357977,0.19999999999999996,-15,90.0,-90.0,0.06293622928925197,1.0747136037031506,-1.1889369662324294,-2.2494574096084645,1.346710356838774,1.6380350869466331,-1.2811465183633712
-0.1,0,0.2,-0.3221629400464857,-0.05952838037357975,0.19999999999999993,15,90.0,-90.0,0.06856487546178337,2.0285309675980625,1.1167461747986724,2.204736430682256,-1.3774630043872662,-1.6047405066431908,1.3952840427411106
-0.1,0,0.2,-0.29918584287042094,-0.115,0.2,30,90.0,-90.0,0.10613653075238652,2.112746302963308,0.9176862305606098,1.9243485022374476,-1.552533173960412,-1.5649414153822443,1.8698166604233728
-0.1,0,0.2,-0.26263455967290594,-0.1626345596729059,0.19999999999999993,45,90.0,-90.0,0.1379482035747464,2.2085919890435664,0.9096847595517266,1.626999487808969,-1.6920727944803662,-1.6538381120131285,2.170661789033284
-0.1,0,0.2,-0.21500000000000002,-0.1991858428704209,0.19999999999999998,60,90.0,-90.0,0.13049341683843066,2.303261317818842,0.9812964593559929,1.3103092223966708,-1.7819932188481056,-1.8064876456309793,2.3948742926674136
-0.1,0,0.2,-0.15952838037357978,-0.22216294004648574,0.2,75,90.0,-90.0,0.1090799354638445,2.394145644678608,1.094776905712635,0.9647775558363844,-1.8132731704479756,-1.9949529829897756,2.6002326155206408
-0.1,0,0.2,-0.10000000000000005,-0.23000000000000007,0.2,90,90.0,-90.0,0.08081434803089756,2.4756962603559014,1.246121834440993,0.5671651774933126,-1.7568114054964517,-2.2132012997884707,2.836822364215367
-0.1,0.0,0.15000000000000002,-0.10000000000000005,0.23000000000000007,0.15000000000000002,-90,90.0,-90.0,0.08291090436047201,0.6264319949164593,-1.3060998855684844,-0.5983891393731917,1.8024992118751226,2.1581168379416966,3.5449501347888592
-0.1,0.0,0.15000000000000002,-0.15952838037357978,0.22216294004648574,0.15,-75,90.0,-90.0,0.11044146789426407,0.7115693539175334,-1.1692592616646706,-0.9884552016902318,1.832103657996798,1.9421144228932652,-2.5050952475867883
-0.1,0.0,0.15000000000000002,-0.21500000000000002,0.19918584287042088,0.15,-60,90.0,-90.0,0.13125421166258902,0.8051621167215273,-1.0749762815941206,-1.3269456480541248,1.7815434874345752,1.7597143238555943,-2.289879809549095
-0.1,0.0,0.15000000000000002,-0.26263455967290594,0.16263455967290594,0.15,-45,90.0,-90.0,0.13733665049943675,0.9022955316331431,-1.0362298158903993,-1.6328689062413646,1.6743891481361168,1.624688248511111,-2.0403893719068513
