TCP x,TCP y,TCP z,eef x,eef y,eef z,Cr(rzyz),Pitch(rzyz),Roll(rzyz),Manipulability,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.4,0,0.2,0.42500000000000004,-0.12000000000000001,0.3720000000000001,-90,90.0,-90.0,0.09129305599268986,0.5092833136247102,-0.1587578133294144,0.7583894123166286,0.0001888928647619029,0.9702536508698336,2.079238685766795
0.4,0,0.2,0.45520643106952924,-0.10944062302712519,0.3720000000000001,-75,90.0,-90.0,0.07987681656524065,0.5345203104082701,-0.289123594642909,0.8619526260323298,0.00099941351803933,0.9986080027451388,1.84292408268743
0.4,0,0.2,0.48165063509461103,-0.0914230484541326,0.372,-60,90.0,-90.0,0.06810696667525626,0.5237443007649121,-0.43360916735861144,0.9593820806027108,0.00011801687305360486,1.0459757586814498,1.5713991154186597
0.4,0,0.2,0.5025304832720494,-0.067175144212722,0.372,-45,90.0,-90.0,0.056811718070582405,0.4542232301351106,-0.583555226562938,1.0434020416739376,-0.0003983405656101021,1.1098288294710326,1.2399956747585168
0.4,0,0.2,0.5094406230271252,0.05520643106952922,0.372,15,90.0,-90.0,0.052572946549586226,-0.3998034490599198,-0.6437659548749678,1.0726477836860742,-0.0005692633769062857,1.1423312975407907,-0.6612377105531692
0.4,0,0.2,0.49142304845413265,0.08165063509461101,0.3720000000000001,30,90.0,-90.0,0.06305714268493867,-0.5027440828658895,-0.49883322716829115,0.9979616650496463,-0.0005441964345519166,1.0710009923662296,-1.0266973565958282
0.4,0,0.2,0.467175144212722,0.10253048327204942,0.372,45,90.0,-90.0,0.0747346825350969,-0.5355652988596663,-0.35024431260415956,0.9050728688263361,0.00057914863825976,1.0149326254947466,-1.3207379488402902
0.4,0,0.2,0.43834936490538906,0.11642304845413265,0.372,60,90.0,-90.0,0.08641064370864682,-0.5232763852869986,-0.21325546999600017,0.8033488652626112,-5.0030657840034135e-06,0.9798378024657768,-1.5695739041666341
0.4,0,0.2,0.4069101397550758,0.12238157528225123,0.3720000000000001,75,90.0,-90.0,0.09763223185067792,-0.4835673586407764,-0.09145365757428756,0.6985467599844416,0.000995650773113742,0.964482357113378,-1.7934605927897107
0.4,0,0.2,0.375,0.12000000000000004,0.3720000000000001,90,90.0,-90.0,0.10189313647135627,-0.4249499285359568,0.012327094997995986,0.598867071591817,-0.0006304823302782528,0.9591521188236051,-1.9944718179658854
0.35000000000000003,0.0,0.25,0.37500000000000006,-0.12000000000000001,0.42200000000000004,-90,90.0,-90.0,0.0986541977511201,0.4248920418743966,-0.04472999757621628,0.48603340098775555,0.0008368543915785332,1.1300098314275497,1.9944979253582826
0.35000000000000003,0.0,0.25,0.40520643106952925,-0.10944062302712519,0.42200000000000004,-75,90.0,-90.0,0.09642226653258638,0.43611352405992476,-0.1656922599192761,0.5957741827064367,0.00047164453592538394,1.1411905756297827,1.744538762319574
0.35000000000000003,0.0,0.25,0.43165063509461105,-0.0914230484541326,0.422,-60,90.0,-90.0,0.08436782846651898,0.4134287088095959,-0.29207846924785247,0.6964931271272546,-0.00021361322974975576,1.1654706020903554,1.4613574803150824
0.35000000000000003,0.0,0.25,0.4525304832720494,-0.067175144212722,0.42200000000000004,-45,90.0,-90.0,0.07358758422770849,0.3439860129588759,-0.4103092902384922,0.77911821797837,-0.0002989092207251942,1.2023583357844605,1.1291299813811504
0.35000000000000003,0.0,0.25,0.4664230484541327,-0.03834936490538901,0.42200000000000004,-30,90.0,-90.0,0.06528098608686657,0.21717393727559386,-0.5045626693389892,0.8367448326759851,0.00037435431288634414,1.2385699285242577,0.7399028850256953
0.35000000000000003,0.0,0.25,0.4723815752822512,-0.0069101397550757546,0.42200000000000004,-15,90.0,-90.0,0.06138281161093587,0.04067768798997286,-0.5500487668723851,0.8622405384997024,0.00028475712844698093,1.2594521978391917,0.3020700821409948
0.35000000000000003,0.0,0.25,0.47000000000000003,0.025000000000000033,0.42200000000000004,0,90.0,-90.0,0.06293310415390149,-0.14654176468926977,-0.5317177659496665,0.8521668813307055,7.31615857576617e-05,1.249702996487995,-0.14635415064749427
0.35000000000000003,0.0,0.25,0.4594406230271252,0.05520643106952922,0.42200000000000004,15,90.0,-90.0,0.06953958091778918,-0.2967935898973146,-0.45561132018107037,0.8080322240172876,5.223812435911342e-05,1.2176405566996193,-0.5578324606152908
0.35000000000000003,0.0,0.25,0.4414230484541326,0.08165063509461101,0.42200000000000004,30,90.0,-90.0,0.07950387996415527,-0.38982010921329596,-0.34472050701234036,0.7349465551887724,0.00020218232434237002,1.1801025891747454,-0.9132940519945927
0.35000000000000003,0.0,0.25,0.417175144212722,0.10253048327204942,0.42200000000000004,45,90.0,-90.0,0.09119893031004013,-0.43129008319224965,-0.2199730862263163,0.640814762273505,0.0012674698444369858,1.1502551225438251,-1.217692716023174
0.35000000000000003,0.0,0.25,0.38834936490538907,0.11642304845413265,0.422,60,90.0,-90.0,0.09987006957826967,-0.4335575344695474,-0.09575705485419246,0.534080499996225,0.00042628835871975847,1.13302509472766,-1.4803358437145882
0.35000000000000003,0.0,0.25,0.3569101397550758,0.12238157528225123,0.42200000000000004,75,90.0,-90.0,0.09679876372783172,-0.408080698258685,0.020247169456819834,0.4218632465240892,0.0001452306028064147,1.1292705972814028,-1.7180605437813767
0.35000000000000003,0.0,0.25,0.325,0.12000000000000004,0.42200000000000004,90,90.0,-90.0,0.0930343648370748,-0.3639112179863936,0.12514781757651067,0.3100900114111493,-0.0007403891982567856,1.1359373653962321,-1.9339678758564507
0.4,0.05,0.2,0.42500000000000004,-0.07,0.3720000000000001,-90,90.0,-90.0,0.0839560213032745,0.3140403135721643,-0.24048939275922313,0.8248301449628135,0.0014764583252670593,0.9870233725187505,1.8838970727096624
0.4,0.05,0.2,0.45520643106952924,-0.05944062302712519,0.3720000000000001,-75,90.0,-90.0,0.07209043467858275,0.31095634611674877,-0.3812933147316256,0.9261427997420644,0.001088239031521069,1.0255071607167465,1.6196963822770687
0.4,0.05,0.2,0.48165063509461103,-0.0414230484541326,0.372,-60,90.0,-90.0,0.06074117981526605,0.2555596287034558,-0.527833970184066,1.014067483763576,0.0004292342808341786,1.0838407667687837,1.3016534456435387
0.4,0.05,0.2,0.5025304832720494,-0.017175144212721996,0.372,-45,90.0,-90.0,0.051181981165853714,0.12481815618202965,-0.6613950308626502,1.080836220253256,-0.0008581412078238399,1.1511476102688147,0.9108669190413285
0.4,0.05,0.2,0.5223815752822513,0.04308986024492425,0.372,-15,90.0,-90.0,0.04612012031571797,-0.35131992635521736,-0.7359644015176249,1.1127920686073465,-0.0002932594519362143,1.1945524120088578,-0.08882959060073535
0.4,0.05,0.2,0.52,0.07500000000000004,0.3720000000000001,0,90.0,-90.0,0.052328659255088394,-0.5593240311118087,-0.644983118144366,1.0731715854583208,0.0007013759158794339,1.1426928802227563,-0.5587893912586033
0.4,0.05,0.2,0.5094406230271252,0.10520643106952923,0.372,15,90.0,-90.0,0.06221561832374702,-0.6775282982915446,-0.508239646989002,1.0033957890947502,-0.0011823765780818638,1.0756385741846826,-0.9380247837790794
0.4,0.05,0.2,0.49142304845413265,0.131650635094611,0.3720000000000001,30,90.0,-90.0,0.07375687804244516,-0.7246183111941539,-0.3612527072298963,0.9124923457511165,-0.0005669890639541537,1.0200049415208927,-1.248109141353244
0.4,0.05,0.2,0.467175144212722,0.15253048327204943,0.372,45,90.0,-90.0,0.08551245930003915,-0.7232084064086208,-0.2223827981240426,0.810615551018697,-0.0009526443053308275,0.9822751468346465,-1.507408678370433
0.4,0.05,0.2,0.43834936490538906,0.16642304845413264,0.372,60,90.0,-90.0,0.0967591449540068,-0.689776649718119,-0.09878036177177653,0.705227402961207,-4.029084284570036e-05,0.963621666662412,-1.7375895867577897
0.4,0.05,0.2,0.4069101397550758,0.17238157528225123,0.3720000000000001,75,90.0,-90.0,0.10184631628662405,-0.6368716922799251,0.008929206794004795,0.6024785026866073,-0.0008638151264639474,0.9591588491579405,-1.9448291882194237
0.4,0.05,0.2,0.375,0.17000000000000004,0.3720000000000001,90,90.0,-90.0,0.09971256914398849,-0.5701797242509534,0.09936374771966526,0.5073926763651186,-0.00034805985969526567,0.9629802121716892,-2.139885037322531
0.35000000000000003,-0.05,0.15000000000000002,0.37500000000000006,-0.17,0.32200000000000006,-90,90.0,-90.0,0.09974606399957979,0.570360870103552,0.18686625264310858,0.5881842366640192,0.0013483925041100943,0.7961316173864935,2.139454662481289
0.35000000000000003,-0.05,0.15000000000000002,0.40520643106952925,-0.1594406230271252,0.32200000000000006,-75,90.0,-90.0,0.10024401317543072,0.5961096835888658,0.07988637112304815,0.7096943718050198,0.0014724655186985273,0.7812254778896613,1.904999934467781
0.35000000000000003,-0.05,0.15000000000000002,0.43165063509461105,-0.14142304845413262,0.322,-60,90.0,-90.0,0.08969979168340009,0.5965156467993413,-0.0375779836109763,0.8296165853598688,1.4750604817019715e-05,0.7778811860765772,1.6432463729258608
0.35000000000000003,-0.05,0.15000000000000002,0.4525304832720494,-0.117175144212722,0.32200000000000006,-45,90.0,-90.0,0.0790269128615436,0.5584738379850834,-0.15940767251523846,0.93893892155758,0.0005726913823598122,0.7919664793878014,1.342788693669095
0.35000000000000003,-0.05,0.15000000000000002,0.4664230484541327,-0.08834936490538901,0.32200000000000006,-30,90.0,-90.0,0.06955229723486557,0.47062098314172357,-0.2744730210510405,1.0293090034128995,-0.0007502682617482396,0.8154363741060937,0.9951830029475867
0.35000000000000003,-0.05,0.15000000000000002,0.4723815752822512,-0.05691013975507576,0.32200000000000006,-15,90.0,-90.0,0.06315739950707094,0.3269841988575064,-0.35904305440970624,1.0876159654429975,-0.00021154965327597667,0.8424493122808951,0.5883421102240697
0.35000000000000003,-0.05,0.15000000000000002,0.47000000000000003,-0.02499999999999997,0.32200000000000006,0,90.0,-90.0,0.06127542027679782,0.14561570385133366,-0.38499766009218234,1.1040585495378676,0.0010787869637726092,0.8519329270655214,0.1448258011376632
0.35000000000000003,-0.05,0.15000000000000002,0.4594406230271252,0.00520643106952922,0.32200000000000006,15,90.0,-90.0,0.06447322563648049,-0.028624933256358644,-0.3412725014997949,1.075844630508795,-0.0010499594347577106,0.8363545703315113,-0.2893512925870084
0.35000000000000003,-0.05,0.15000000000000002,0.4414230484541326,0.03165063509461101,0.32200000000000006,30,90.0,-90.0,0.07186873850676795,-0.158038721814398,-0.24599115331860635,1.0078019413513783,0.001052275719711423,0.8092788111311748,-0.6831263963101154
0.35000000000000003,-0.05,0.15000000000000002,0.417175144212722,0.052530483272049414,0.32200000000000006,45,90.0,-90.0,0.08174325172775855,-0.2315619472026994,-0.12724176426685055,0.9118748688199559,0.0017371888153184735,0.7864110935827257,-1.0184657383161992
0.35000000000000003,-0.05,0.15000000000000002,0.38834936490538907,0.06642304845413265,0.322,60,90.0,-90.0,0.09264877557473152,-0.2578858892200293,-0.005958326388781456,0.7985511709905823,-0.0009391638502701264,0.7775428386796756,-1.3035866355281691
0.35000000000000003,-0.05,0.15000000000000002,0.3569101397550758,0.07238157528225123,0.32200000000000006,75,90.0,-90.0,0.10086239685833955,-0.2508026592809585,0.10893601872773284,0.6777800578987075,0.0009120500507032775,0.7834312253243279,-1.5607142349318686
0.35000000000000003,-0.05,0.15000000000000002,0.325,0.07000000000000003,0.32200000000000006,90,90.0,-90.0,0.09907943193335617,-0.21893316575609567,0.21262728048060378,0.5569624678699646,0.0013576344245088362,0.8004480612971885,-1.78983768797922
0.30000000000000004,0.0,0.10000000000000002,0.32500000000000007,-0.12000000000000001,0.2720000000000001,-90,90.0,-90.0,0.09716547244429646,0.36393024263019846,0.3719985482061284,0.5465787041491509,0.0008446855922461981,0.6516120354954211,1.9332255758167014
0.30000000000000004,0.0,0.10000000000000002,0.35520643106952926,-0.10944062302712519,0.2720000000000001,-75,90.0,-90.0,0.0993371405757364,0.36699635025943295,0.27500723420584816,0.6788411227272361,0.0011346905338784946,0.6169799370109527,1.676029525611541
0.30000000000000004,0.0,0.10000000000000002,0.38165063509461106,-0.0914230484541326,0.272,-60,90.0,-90.0,0.09224322962079487,0.340420278235467,0.17748019480751834,0.8020473794519098,-0.0011159211307425075,0.5914071991803262,1.389385150302045
0.30000000000000004,0.0,0.10000000000000002,0.40253048327204943,-0.067175144212722,0.272,-45,90.0,-90.0,0.08347636222797924,0.2755502475134653,0.08745837829131083,0.9067743000785379,-0.0002856348166597072,0.5773864084954753,1.062082635776422
0.30000000000000004,0.0,0.10000000000000002,0.4164230484541327,-0.03834936490538901,0.2720000000000001,-30,90.0,-90.0,0.07680509316119309,0.17029299239707957,0.016672529118003196,0.9820368840322163,-0.0013571614020994427,0.5714137729218162,0.695845084287842
0.30000000000000004,0.0,0.10000000000000002,0.4223815752822513,-0.0069101397550757546,0.272,-15,90.0,-90.0,0.0739303837445894,0.031697891002634704,-0.016933646453945572,1.0156170638916038,-0.0002433185598315758,0.5725601875371784,0.2944096700388145
0.30000000000000004,0.0,0.10000000000000002,0.42000000000000004,0.025000000000000033,0.2720000000000001,0,90.0,-90.0,0.07512545749309352,-0.11279537635502838,-0.0035783806049725876,1.0021641522105165,-0.000813397071179979,0.5726181370408946,-0.111489911724427
0.30000000000000004,0.0,0.10000000000000002,0.40944062302712525,0.05520643106952922,0.272,15,90.0,-90.0,0.08016241044410803,-0.2356284387265452,0.05286420446430326,0.9438834958261708,0.0017194149450776612,0.5737168712540955,-0.4996492625229184
0.30000000000000004,0.0,0.10000000000000002,0.39142304845413267,0.08165063509461101,0.2720000000000001,30,90.0,-90.0,0.08825352932459393,-0.3169935427496183,0.13717484739962368,0.8501543254283642,-0.0018785300943681283,0.583559298774592,-0.8385970904110063
