TCP x,TCP y,TCP z,eef x,eef y,eef z,Cr(rzyz),Pitch(rzyz),Roll(rzyz),Manipulability,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.5,0,0.1,0.53,-0.08,0.2800000000000001,-90,90.0,-90.0,0.0672476579059297,0.4393305025847156,-0.1685786062718116,1.115620904247704,0.0011757909135858375,0.6236740530108377,2.008853396685372
0.5,0,0.1,0.5496832983968737,-0.06950949475004985,0.2800000000000001,-75,90.0,-90.0,0.05960352730274793,0.4329970352949693,-0.27353370576672914,1.1939845583895285,0.0006901130438578976,0.649324919837177,1.740470574748199
0.45,0.05,0.1,0.48000000000000004,-0.03,0.2800000000000001,-90,90.0,-90.0,0.07768827559417082,0.13564344488573316,-0.029704201325799394,0.9921114525760885,-7.477559986055946e-05,0.6082630241823157,1.7069999991547051
0.45,0.05,0.1,0.5342820323027551,0.03598076211353318,0.2800000000000001,-30,90.0,-90.0,0.059921000643026065,-0.21385887945717966,-0.2539588762417817,1.1803582263879748,0.0009928140028896252,0.6437770910660595,0.3089006068591346
0.45,0.05,0.1,0.5350386374562011,0.058272251180470414,0.28,-15,90.0,-90.0,0.061855047846702205,-0.340070418622863,-0.2276444959975065,1.1613025191686324,0.0013407470622877843,0.6377713284218962,-0.0788279161383073
0.45,0.05,0.1,0.5195094947500498,0.09968329839687373,0.28,15,90.0,-90.0,0.07235217464399736,-0.5050238988854563,-0.09179690546332246,1.050335789686551,0.0016333203198059525,0.6121625711740343,-0.7690064912030747
0.45,0.05,0.1,0.42,0.13000000000000003,0.2800000000000001,90,90.0,-90.0,0.10074061848552537,-0.43464472478503735,0.264592804327112,0.6586189813496406,3.172389098688256e-05,0.6476557461356588,-2.005147579877119
0.5,-0.05,0.1,0.53,-0.13,0.2800000000000001,-90,90.0,-90.0,0.07586815068680752,0.6527975748331015,-0.06024388216963821,1.0214879493411073,-0.00042715203006334795,0.6086001032005871,-4.05931937165528
0.5,-0.05,0.1,0.5353553390593273,0.027781745930520255,0.28,45,90.0,-90.0,0.05996864317226078,-0.16746243098424496,-0.2669705929052591,1.1895998477862384,0.0014146018899533555,0.6477387506048307,5.328217588356423
0.45,-0.1,0.1,0.48000000000000004,-0.18,0.2800000000000001,-90,90.0,-90.0,0.09791698779326613,0.6859885133049243,0.1868125484096483,0.7558830413321659,-0.0018692678463814987,0.6277822428650521,2.2579792286033045
