TCP x,TCP y,TCP z,eef x,eef y,eef z,Cr(rzyz),Pitch(rzyz),Roll(rzyz),Manipulability,joint0,joint1,joint2,joint3,joint4,joint5
0.05,0.05,0.1,-0.0017638090205041382,0.2431851652578137,0.09999999999999998,-75,90.0,-90.0,0.042218760044505185,-2.5232449950999825,1.6010100816995634,0.023419989833295747,-1.551446722946845,1.9267009728663982,-3.0837788632239693
0.05,0.05,0.1,-0.05000000000000003,0.22320508075688772,0.09999999999999998,-60,90.0,-90.0,0.09049775964592334,-2.495242451818363,1.3527466511224353,0.6487035932696797,-1.5189735037237486,1.681262131590251,-2.7080887980387285
0.05,0.05,0.1,-0.09142135623730953,0.19142135623730955,0.09999999999999998,-45,90.0,-90.0,0.11705563292036335,-2.458793443328117,1.2261916692360832,1.056127453013757,-1.6377973413541562,1.492141937074736,-2.4270176187653036
0.05,0.05,0.1,-0.12320508075688778,0.15000000000000002,0.09999999999999998,-30,90.0,-90.0,0.12762685204300656,-2.4297415490505774,1.1742144250513644,1.388294393795935,-1.8556550757364139,1.390137716230095,-2.1230114639317574
0.05,0.05,0.1,-0.14318516525781366,0.10176380902050415,0.09999999999999996,-15,90.0,-90.0,0.11824315107156469,-2.4318842826540235,1.2016347387505157,1.6858514756927612,-2.155256278321606,1.4275134418306967,-1.781941422961838
0.05,0.05,0.1,-0.15000000000000002,0.05,0.1,0,90.0,-90.0,0.11086976848105608,-2.5246074543907566,1.2949487326374687,1.9484271448150443,-2.521657711331477,1.6527735713801284,-1.5124495790457049
0.05,0.05,0.1,-0.14318516525781366,-0.0017638090205041243,0.09999999999999994,15,90.0,-90.0,0.09001158821725645,-2.771660824746604,1.337905664677347,2.172524959290651,-3.025206747593097,1.9373365860871112,-1.5283354821235684
0.05,0.05,0.1,-0.12320508075688778,-0.05,0.1,30,90.0,-90.0,0.08066468840951713,-0.019229267192876504,-1.2396081228499287,-2.2996470378093106,-0.5791649811276837,1.9097692127990216,-1.7843232591145628
0.05,0.05,0.1,-0.0914213562373095,-0.09142135623730947,0.09999999999999992,45,90.0,-90.0,0.11155891927279803,-0.3634982442784269,-1.2002036174518793,-2.157875377889988,-1.1570263602066393,1.65822712894765,-1.7680693614526002
0.05,0.05,0.1,-0.05,-0.12320508075688776,0.09999999999999999,60,90.0,-90.0,0.10468472393872645,-0.5375149696867868,-1.2790315184731238,-1.8321784252734499,-1.584522226614256,1.570448197819414,-1.539625681899206
