TCP x,TCP y,TCP z,eef x,eef y,eef z,Cr(rzyz),Pitch(rzyz),Roll(rzyz),Manipulability,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.5,0,0.1,0.53,-0.08,0.2800000000000001,-90,90.0,-90.0,0.06724974199290877,0.43960806542166286,-0.16921649179615403,1.1157403849504184,0.0013536232687878765,0.624481494845613,2.0084566017969965
0.5,0,0.1,0.5353553390593273,0.07778174593052026,0.28,45,90.0,-90.0,0.06531830929095138,-0.4419088625062075,-0.19479228182127797,1.135840962839606,0.0014520077029682172,0.630047185951477,-1.2286876548476944
0.5,0,0.1,0.4917277488195296,0.08503863745620109,0.2800000000000001,75,90.0,-90.0,0.07977392840517747,-0.3876765892795478,-0.018399812506319297,0.9811488194364694,-0.0006505536359352873,0.6087198612334324,-1.6952678190533312
0.45,0.05,0.1,0.48000000000000004,-0.03,0.2800000000000001,-90,90.0,-90.0,0.07764530882233656,0.13520962354938235,-0.029150366645984284,0.9922130259376624,0.0008572361037605088,0.6070483395285623,-4.577469990952516
0.45,0.05,0.1,0.5195094947500498,0.09968329839687373,0.28,15,90.0,-90.0,0.07241123407927962,-0.5052148990705733,-0.09155144980296999,1.0497973552292839,0.002076562960713983,0.612712708971268,5.513977145859044
0.45,0.05,0.1,0.504282032302755,0.1159807621135332,0.2800000000000001,30,90.0,-90.0,0.07960896545486748,-0.5348033957048829,-0.008765070931682491,0.9716227632291117,-0.000494981029267668,0.6086581395784594,5.224590298516239
0.45,0.05,0.1,0.4417277488195296,0.1350386374562011,0.2800000000000001,75,90.0,-90.0,0.10034018655818798,-0.4816476541516426,0.21033627563221227,0.7273129425510744,-0.0003120587122151846,0.6341158605547598,4.49195801489488
0.45,0.05,0.1,0.42,0.13000000000000003,0.2800000000000001,90,90.0,-90.0,0.10073833511477417,-0.4348562457775559,0.26499296509907083,0.6577194601717679,0.0003369613079076691,0.6492579906242131,4.2768446115834395
0.5,-0.05,0.1,0.5496832983968737,-0.11950949475004985,0.2800000000000001,-75,90.0,-90.0,0.0685822875304879,0.6715464453565477,-0.15099694642538886,1.100638255656807,0.00124224719065695,0.6213314352185838,1.9796265314491237
0.5,-0.05,0.1,0.5659807621135332,-0.10428203230275507,0.28,-60,90.0,-90.0,0.06092060152423999,0.6608380175921856,-0.25288648794395113,1.1797453141187497,0.0013586968326583548,0.6430078412807131,1.7063181829344773
0.5,-0.05,0.1,0.5353553390593273,0.027781745930520255,0.28,45,90.0,-90.0,0.059993390592376926,-0.16719071877011984,-0.2672652233914486,1.189271759698752,0.0015349902039022165,0.6484627570703239,-0.9545780713102743
0.45,-0.1,0.1,0.5159807621135332,-0.15428203230275508,0.28,-60,90.0,-90.0,0.08340901174050824,0.6973238959985519,0.03772829986045024,0.9250989628011036,0.0017389674029299855,0.6080623369286596,1.74349536245254
0.45,-0.1,0.1,0.5277817459305203,-0.13535533905932737,0.28,-45,90.0,-90.0,0.07627012421254464,0.6661509126138575,-0.04133852832033801,1.003523872208855,-0.0005688165114028413,0.6076861527820839,1.4526986239010633
0.45,-0.1,0.1,0.5342820323027551,-0.11401923788646683,0.2800000000000001,-30,90.0,-90.0,0.07033013331817535,0.6022841717354902,-0.11223029624387493,1.0684082418534337,0.0017134659403411543,0.6140584221383876,1.123648321897085
0.45,-0.1,0.1,0.5195094947500498,-0.050316701603126276,0.28,15,90.0,-90.0,0.06579775576835227,0.27108683451338844,-0.17103526044662998,1.1170983107730126,0.0014642257669781379,0.6255407338021447,0.00713152631674173
0.45,-0.1,0.1,0.504282032302755,-0.03401923788646681,0.2800000000000001,30,90.0,-90.0,0.06965625491695081,0.17156507429542475,-0.1222778167996038,1.0766390739807858,0.000935308939401335,0.6176136695727831,-0.35375597917593216
0.45,-0.1,0.1,0.4853553390593274,-0.022218254069479748,0.28,45,90.0,-90.0,0.07533535648055717,0.10324972605695294,-0.05367497808629919,1.0149068115574094,-7.753512309165237e-05,0.6100824877536103,-0.6816099866818237
0.45,-0.1,0.1,0.4417277488195296,-0.014961362543798915,0.2800000000000001,75,90.0,-90.0,0.08965055774947753,0.05792463531666629,0.10261910568514478,0.8544297753777822,0.0010224053161426543,0.6144654763998773,-1.2512895530281027
0.45,-0.15000000000000002,0.1,0.5159807621135332,-0.2042820323027551,0.28,-60,90.0,-90.0,0.0943805811801759,0.837542952783251,0.15679708547472032,0.7920593411136958,0.0008772379236190124,0.6218765870481128,-4.3987621358858755
0.45,-0.15000000000000002,0.1,0.5277817459305203,-0.18535533905932738,0.28,-45,90.0,-90.0,0.08700212965296308,0.8219339236315557,0.0825044526472748,0.8768788876752587,-0.0010411135882843069,0.6106333088620468,-4.675260306307413
0.45,-0.15000000000000002,0.1,0.5342820323027551,-0.16401923788646683,0.2800000000000001,-30,90.0,-90.0,0.0804843252358684,0.7805313055674171,0.011876160096520986,0.9511256800445713,-0.00019991981832666612,0.6074196586225584,-4.979843241004841
0.45,-0.15000000000000002,0.1,0.504282032302755,-0.08401923788646683,0.2800000000000001,30,90.0,-90.0,0.07379417263324169,0.40486556608284063,-0.06474768064625186,1.0253300961490162,0.0017043527205015069,0.6102887057703742,-6.402822057724829
0.45,-0.15000000000000002,0.1,0.4640192378864668,-0.06571796769724492,0.28,60,90.0,-90.0,0.08442012804043289,0.27094713152282746,0.05470953970632419,0.9068323263227276,0.0020173152346639194,0.6090649800030495,5.504381449506756
0.45,-0.15000000000000002,0.1,0.4417277488195296,-0.06496136254379893,0.2800000000000001,75,90.0,-90.0,0.0915268666423957,0.24621352026526758,0.12792678377952818,0.8255367537543193,0.001199392118852979,0.6174438808145257,5.219917652151623
0.45,-0.15000000000000002,0.1,0.42,-0.06999999999999999,0.2800000000000001,90,90.0,-90.0,0.09877322149932104,0.24512244706382474,0.20155597621501506,0.7382638556543405,-0.00012193798239756145,0.6318720062777862,4.95786284328508
0.45,0.1,0.1,0.49968329839687375,0.03049050524995016,0.2800000000000001,-75,90.0,-90.0,0.07087124285599311,-0.15102426095546662,-0.10649247552522786,1.062957472551465,0.0017588116119555814,0.6143125307386927,1.1567134354368152
0.45,0.1,0.1,0.5159807621135332,0.045717967697244934,0.28,-60,90.0,-90.0,0.06643202117782743,-0.24341451266766514,-0.16135782489107087,1.1097596454142127,0.0006587016070921016,0.6218746597738324,0.8022629685820162
0.45,0.1,0.1,0.5277817459305203,0.06464466094067264,0.28,-45,90.0,-90.0,0.06459495725651482,-0.359484595674307,-0.1865817225539096,1.1293103749715994,0.0011601428038107281,0.6283497780144621,0.42556845490086426
0.45,0.1,0.1,0.5342820323027551,0.08598076211353319,0.2800000000000001,-30,90.0,-90.0,0.06550421098372707,-0.47865893670836135,-0.17416833652984592,1.1199934507706941,0.0008718407113805218,0.6253421603683292,0.0433447035183567
0.45,0.1,0.1,0.5195094947500498,0.14968329839687372,0.28,15,90.0,-90.0,0.08148076145497084,-0.6924702578253161,0.01672369342439415,0.9462922163565465,0.0012081984374808408,0.6076220310504342,-0.9559788295018996
0.45,0.1,0.1,0.4853553390593274,0.17778174593052026,0.28,45,90.0,-90.0,0.0961487812018505,-0.6918616596122983,0.16860431230017536,0.7778950832347052,0.0012144692189932469,0.6242933386277252,-1.4789759840602583
0.45,0.1,0.1,0.4640192378864668,0.1842820323027551,0.28,60,90.0,-90.0,0.10070064994073324,-0.6630029546885023,0.23568906739690226,0.6956606785488422,0.0006833354334853342,0.6403443434934447,-1.711573577286808
0.5,-0.1,0.1,0.53,-0.18,0.2800000000000001,-90,90.0,-90.0,0.08678164056183872,0.8137720000880284,0.06357342623562809,0.897311150472623,0.0010175806217724626,0.6093601507089793,2.3839251257935787
0.5,-0.1,0.1,0.5496832983968737,-0.16950949475004984,0.2800000000000001,-75,90.0,-90.0,0.07973712311166511,0.8455796054384902,-0.012488073328338864,0.9757549608625812,-0.0008247205440432082,0.6067118358862535,2.1544308195242854
0.5,-0.1,0.1,0.5659807621135332,-0.15428203230275508,0.28,-60,90.0,-90.0,0.07242910289440185,0.8547978956495407,-0.09898774414185742,1.056419003669611,0.0015959044827977965,0.6134370656441768,1.8997486501378826
0.5,-0.1,0.1,0.5777817459305202,-0.13535533905932737,0.28,-45,90.0,-90.0,0.06491535471218364,0.8364680008259756,-0.19370800349004338,1.1353053943327305,-0.0011900644140501828,0.628300501712331,1.6220475724042167
0.5,-0.1,0.1,0.5842820323027551,-0.11401923788646683,0.2800000000000001,-30,90.0,-90.0,0.05819313577362888,0.7771825284776099,-0.28918572363700984,1.204912879231164,0.001345281735110107,0.655504043531001,1.298730502621906
0.45,-0.10000000000000002,0.1,0.49968329839687375,-0.16950949475004987,0.2800000000000001,-75,90.0,-90.0,0.09070891308864448,0.7026406453166882,0.11440329892697512,0.8410537015568879,-0.0019974616955727633,0.6149353912084091,-4.269569056785608
0.45,-0.10000000000000002,0.1,0.5159807621135332,-0.15428203230275508,0.28,-60,90.0,-90.0,0.08333289674682945,0.6976882940157589,0.03753757726903022,0.9252784244844139,0.0005829669699772565,0.6074346673525842,-4.538241626408608
0.45,-0.10000000000000002,0.1,0.5342820323027551,-0.11401923788646684,0.2800000000000001,-30,90.0,-90.0,0.07037243514736388,0.6026857216298234,-0.11207335685784732,1.0680375563831408,0.00019134473520290916,0.614520632793439,-5.156542914145317
